test_type,context,metric,comparison,bonf_p,sig_95,sig_99
within_config,config_iv,tn,all_data vs all_features,0.05765804100507623,False,False
within_config,config_iv,tn,all_data vs all_samples,1.0,False,False
within_config,config_iv,tn,all_data vs edca,0.03335457310718805,True,False
within_config,config_iv,tn,all_data vs selected_image,0.019967965665623973,True,False
within_config,config_iv,tn,all_data vs selected_tabular,1.0,False,False
within_config,config_iv,tn,all_data vs all_tabular,1.0,False,False
within_config,config_iv,tn,all_data vs all_image,0.014097230535626308,True,False
within_config,config_iv,tn,all_features vs all_samples,0.19099217523612733,False,False
within_config,config_iv,tn,all_features vs edca,1.0,False,False
within_config,config_iv,tn,all_features vs selected_image,0.002955723225262782,True,True
within_config,config_iv,tn,all_features vs selected_tabular,0.5619824385645773,False,False
within_config,config_iv,tn,all_features vs all_tabular,1.0,False,False
within_config,config_iv,tn,all_features vs all_image,0.0012973284444639417,True,True
within_config,config_iv,tn,all_samples vs edca,0.006079985827206403,True,True
within_config,config_iv,tn,all_samples vs selected_image,0.018516388148281392,True,False
within_config,config_iv,tn,all_samples vs selected_tabular,1.0,False,False
within_config,config_iv,tn,all_samples vs all_tabular,0.4458847424537755,False,False
within_config,config_iv,tn,all_samples vs all_image,0.0034886007804220947,True,True
within_config,config_iv,tn,edca vs selected_image,0.002827280370150636,True,True
within_config,config_iv,tn,edca vs selected_tabular,1.0,False,False
within_config,config_iv,tn,edca vs all_tabular,1.0,False,False
within_config,config_iv,tn,edca vs all_image,0.0005493590971085108,True,True
within_config,config_iv,tn,selected_image vs selected_tabular,0.008902510605219991,True,True
within_config,config_iv,tn,selected_image vs all_tabular,0.0005479697318179088,True,True
within_config,config_iv,tn,selected_image vs all_image,1.0,False,False
within_config,config_iv,tn,selected_tabular vs all_tabular,0.46900971590877993,False,False
within_config,config_iv,tn,selected_tabular vs all_image,0.003215755180186775,True,True
within_config,config_iv,tn,all_tabular vs all_image,0.0002091957558941175,True,True
within_config,config_iv,fn,all_data vs all_features,0.29367708513725715,False,False
within_config,config_iv,fn,all_data vs all_samples,1.0,False,False
within_config,config_iv,fn,all_data vs edca,0.1347685719658329,False,False
within_config,config_iv,fn,all_data vs selected_image,4.841055620854811e-05,True,True
within_config,config_iv,fn,all_data vs selected_tabular,1.0,False,False
within_config,config_iv,fn,all_data vs all_tabular,0.434507099409841,False,False
within_config,config_iv,fn,all_data vs all_image,4.753347900195663e-05,True,True
within_config,config_iv,fn,all_features vs all_samples,1.0,False,False
within_config,config_iv,fn,all_features vs edca,1.0,False,False
within_config,config_iv,fn,all_features vs selected_image,4.841055620854811e-05,True,True
within_config,config_iv,fn,all_features vs selected_tabular,1.0,False,False
within_config,config_iv,fn,all_features vs all_tabular,1.0,False,False
within_config,config_iv,fn,all_features vs all_image,4.8349637437163946e-05,True,True
within_config,config_iv,fn,all_samples vs edca,0.047607942704016824,True,False
within_config,config_iv,fn,all_samples vs selected_image,4.8227991916806055e-05,True,True
within_config,config_iv,fn,all_samples vs selected_tabular,1.0,False,False
within_config,config_iv,fn,all_samples vs all_tabular,1.0,False,False
within_config,config_iv,fn,all_samples vs all_image,4.841055620854811e-05,True,True
within_config,config_iv,fn,edca vs selected_image,4.8349637437163946e-05,True,True
within_config,config_iv,fn,edca vs selected_tabular,1.0,False,False
within_config,config_iv,fn,edca vs all_tabular,1.0,False,False
within_config,config_iv,fn,edca vs all_image,4.838008881642749e-05,True,True
within_config,config_iv,fn,selected_image vs selected_tabular,4.8076294514767234e-05,True,True
within_config,config_iv,fn,selected_image vs all_tabular,4.8167265062382946e-05,True,True
within_config,config_iv,fn,selected_image vs all_image,0.19395862923527743,False,False
within_config,config_iv,fn,selected_tabular vs all_tabular,1.0,False,False
within_config,config_iv,fn,selected_tabular vs all_image,5.295218499719363e-05,True,True
within_config,config_iv,fn,all_tabular vs all_image,4.5297682705725e-05,True,True
